[2019-12-23 13:07:22:0423] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 13:07:22:0423] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 13:07:22:0423] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 13:07:22:0424] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 13:07:22:0424] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[63288], devIP[a9fe5400]
[2019-12-23 13:07:22:0426] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe7b4f], m_nUpDevIP[a9fe5400]
[2019-12-23 13:07:22:0426] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 13:07:22:0438] | GigEVisionManager.cpp-L2790: event thread start...
[2019-12-23 13:07:22:0840] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 13:07:23:0045] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[4048]
[2019-12-23 16:04:06:0331] | GigEVisionManager.cpp-L0272: driver mode start!
[2019-12-23 16:04:06:0331] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2019-12-23 16:04:06:0331] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:04:06:0331] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:04:06:0331] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe7b4f], hostPort[62376], devIP[a9fe5400]
[2019-12-23 16:04:06:0333] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe7b4f], m_nUpDevIP[a9fe5400]
[2019-12-23 16:04:06:0333] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
[2019-12-23 16:04:06:0345] | GigEVisionManager.cpp-L2790: event thread start...
[2019-12-23 16:04:06:0793] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe7b4f]
